Date,Security,price,quantity
2022-09-12,DBC,24.38712501525879,20502.0
2022-09-12,SPY,400.0752868652344,1249.0
2022-09-13,DBC,24.263957977294922,19711.0
2022-09-13,SPY,382.67901611328125,-1249.0
2022-09-15,DBC,23.657596588134766,-40213.0
2022-10-04,GLD,160.6999969482422,5920.0
2022-10-05,DBC,24.216585159301758,39068.0
2022-10-05,GLD,159.80999755859375,-5920.0
2022-10-11,DBC,23.998674392700195,-39068.0
2022-10-13,DBC,24.330278396606445,38535.0
2022-10-14,DBC,23.847084045410156,-38535.0
2022-10-26,DBC,24.216585159301758,37947.0
2022-10-28,DBC,23.970251083374023,-18974.0
2022-10-28,SPY,380.2628479003906,1196.0
2022-10-31,DBC,23.799713134765625,-18973.0
2022-10-31,SPY,377.51611328125,1196.0
2022-11-01,DBC,24.159738540649414,18608.0
2022-11-01,SPY,375.86419677734375,-1196.0
2022-11-02,DBC,24.377649307250977,17979.0
2022-11-02,SPY,366.4313659667969,-1196.0
2022-11-04,DBC,25.18297576904297,-18294.0
2022-11-04,GLD,156.47000122070312,2944.0
2022-11-07,DBC,24.965065002441406,43.0
2022-11-07,GLD,155.85000610351562,-2944.0
2022-11-07,SPY,371.3970031738281,1232.0
2022-11-08,DBC,24.661884307861328,-6003.0
2022-11-08,GLD,159.4499969482422,1907.0
2022-11-08,SPY,373.4008483886719,-418.0
2022-11-09,DBC,24.09341812133789,6296.0
2022-11-09,GLD,158.64999389648438,922.0
2022-11-09,SPY,365.70806884765625,-814.0
2022-11-10,DBC,24.311328887939453,-9216.0
2022-11-10,GLD,163.47999572753906,-1430.0
2022-11-10,IEF,91.96797180175781,2488.0
2022-11-10,SPY,385.8052062988281,593.0
2022-11-11,DBC,24.775575637817383,-100.0
2022-11-11,GLD,164.55999755859375,3.0
2022-11-11,IEF,91.77664184570312,26.0
2022-11-11,SPY,389.5392150878906,-1.0
2022-11-14,DBC,24.40607261657715,85.0
2022-11-14,GLD,164.9199981689453,-12.0
